Level 3 Area,Cost Center Name,Well Customer,Month,Year,Safety Observation Card Count,Near Miss (NM),Environmental (ENV) Incident Count,Property/ Equipment Damage (EQP DMG) Incident Count,First Aid Cases (FAC),Medical Treatment Only (MTO),Restricted Work Case (RWC),Lost Time Incident (LTI),Fatality (FTL),Total Recordable Cases (TTL REC),Total Class 1 Incidents,Class 1 Incident Rate (C1IR),Total Recordable Incident Rate (TRIR),Lost Time Incident Rate (LTIR),Total Hurt Rate (THR),Work Hours,Count of STARs
Northern USA,0,,2020-JAN,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5059.75,0
Northern USA,0,,2020-FEB,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4320.75,0
Northern USA,0,,2020-MAR,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4671,0
Northern USA,0,,2020-APR,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3599.5,0
Northern USA,0,,2020-MAY,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2745,0
Northern USA,0,,2020-JUN,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2860.5,0
Northern USA,0,,2020-JUL,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2686,0
Northern USA,0,,2020-AUG,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2595.5,0
Northern USA,0,,2020-SEP,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2656,0
Northern USA,0,,2020-OCT,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2677,0
Northern USA,0,,2020-NOV,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2373,0
Northern USA,0,,2020-DEC,2020,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2433,0
Northern USA,0,,2021-JAN,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2428,0
Northern USA,0,,2021-FEB,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2063,0
Northern USA,0,,2021-MAR,2021,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2539,0
Northern USA,0,,2021-APR,2021,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2693.5,0
Northern USA,0,,2021-MAY,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2619,0
Northern USA,0,,2021-JUN,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3304,0
Northern USA,0,,2021-JUL,2021,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0
Northern USA,0,,2021-AUG,2021,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0
Northern USA,0,,2021-SEP,2021,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0
Northern USA,0,,2021-OCT,2021,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0
Northern USA,16,,2020-NOV,2020,1,0,0,0,0,0,0,0,0,0,0,,,,,0,0
Northern USA,32,,2020-FEB,2020,1,0,0,0,0,0,0,0,0,0,0,,,,,0,0
Northern USA,32,,2020-NOV,2020,2,0,0,0,0,0,0,0,0,0,0,,,,,0,0
Northern USA,0019E,ENI US OPERATING COMPANY INC,2020-MAR,2020,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3744,0
Northern USA,0019E,ENI US OPERATING COMPANY INC,2020-APR,2020,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3609,0
Northern USA,0019E,ENI US OPERATING COMPANY INC,2020-MAY,2020,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,0
Northern USA,0019E,,2020-JAN,2020,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0
Northern USA,0019E,,2020-FEB,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,0
Northern USA,0019E,,2020-MAR,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0
Northern USA,0019E,,2020-MAY,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
Northern USA,405,,2020-FEB,2020,0,0,0,1,0,0,0,0,0,0,0,,,,,0,0
Northern USA,445,,2020-JAN,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1512,0
Northern USA,445,,2020-FEB,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1428,0
Northern USA,445,,2020-MAR,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1431.5,0
Northern USA,445,,2020-APR,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744,0
Northern USA,445,,2020-MAY,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840,0
Northern USA,445,,2020-JUN,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744,0
Northern USA,445,,2020-JUL,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720,0
Northern USA,445,,2020-AUG,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0
Northern USA,445,,2020-SEP,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0
Northern USA,445,,2020-OCT,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,0
Northern USA,445,,2020-NOV,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0
Northern USA,445,,2020-DEC,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0
Northern USA,445,,2021-JAN,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,0
Northern USA,445,,2021-FEB,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0
Northern USA,445,,2021-MAR,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0
Northern USA,445,,2021-APR,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0
Northern USA,445,,2021-MAY,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0
Northern USA,445,,2021-JUN,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0
Northern USA,445,,2021-JUL,2021,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0
Northern USA,445,,2021-AUG,2021,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0
Northern USA,445,,2021-SEP,2021,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0
Northern USA,445,,2021-OCT,2021,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0
Northern USA,712,,2020-NOV,2020,1,0,0,0,0,0,0,0,0,0,0,,,,,0,0
Northern USA,712,,2020-DEC,2020,6,0,0,0,0,0,0,0,0,0,0,,,,,0,0
Northern USA,007ES,OIL SEARCH (ALASKA) LLC,2020-JAN,2020,513,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10368.5,0
Northern USA,007ES,OIL SEARCH (ALASKA) LLC,2020-FEB,2020,453,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9216,0
Northern USA,007ES,OIL SEARCH (ALASKA) LLC,2020-MAR,2020,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684.5,0
Northern USA,007ES,,2020-MAR,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,665.5,0
Northern USA,007ES,,2020-APR,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0
Northern USA,007ES,,2021-JUL,2021,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0
Northern USA,007ES,,2021-AUG,2021,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0
Northern USA,007ES,,2021-SEP,2021,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0
Northern USA,007ES,,2021-OCT,2021,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0
Northern USA,968,,2020-JAN,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456,0
Northern USA,968,,2020-FEB,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,0
Northern USA,968,,2020-MAR,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0
Northern USA,968,,2020-APR,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0
Northern USA,00B01,MARATHON OIL COMPANY,2020-JAN,2020,309,52,0,0,1,0,0,0,0,0,0,0,0,0,47.14,4242.5,3
Northern USA,00B01,MARATHON OIL COMPANY,2020-FEB,2020,337,56,0,0,1,0,0,0,0,0,0,0,0,0,49.38,4050.5,1
